pid,category,korean,english_common,scientific
P001,관엽 Foliage,몬스테라,Monstera,Monstera deliciosa
P002,관엽 Foliage,스킨답서스,Golden Pothos,Epipremnum aureum
P003,관엽 Foliage,칼라데아,Calathea,Goeppertia makoyana
P004,관엽 Foliage,여인초,White Bird of Paradise,Strelitzia nicolai
P005,관엽 Foliage,스투키,Cylindrical Snake Plant,Dracaena angolensis
P006,관엽 Foliage,금전수,ZZ Plant,Zamioculcas zamiifolia
P007,관엽 Foliage,홍콩야자,Dwarf Umbrella Tree,Schefflera arboricola
P008,관엽 Foliage,산세베리아,Snake Plant,Dracaena trifasciata
P009,관엽 Foliage,고무나무,Rubber Plant,Ficus elastica
P010,관엽 Foliage,올리브나무,Olive Tree,Olea europaea
P011,관엽 Foliage,유칼립투스,Eucalyptus,Eucalyptus gunnii
P012,관엽 Foliage,필로덴드론,Heartleaf Philodendron,Philodendron hederaceum
P013,관엽 Foliage,알로카시아,Elephant Ear,Alocasia amazonica
P014,관엽 Foliage,행운목,Corn Plant,Dracaena fragrans
P015,관엽 Foliage,파키라,Money Tree,Pachira aquatica
P016,관엽 Foliage,벵갈고무나무,Bengal Fig,Ficus benghalensis
P017,관엽 Foliage,떡갈잎고무나무,Fiddle Leaf Fig,Ficus lyrata
P018,관엽 Foliage,몬스테라 아단소니,Swiss Cheese Vine,Monstera adansonii
P019,관엽 Foliage,안스리움,Anthurium,Anthurium andraeanum
P020,관엽 Foliage,스파티필름,Peace Lily,Spathiphyllum wallisii
P021,관엽 Foliage,디펜바키아,Dumb Cane,Dieffenbachia seguine
P022,관엽 Foliage,아글라오네마,Chinese Evergreen,Aglaonema commutatum
P023,관엽 Foliage,호야,Hoya Wax Plant,Hoya carnosa
P024,관엽 Foliage,틸란드시아,Air Plant,Tillandsia ionantha
P025,관엽 Foliage,박쥐란,Staghorn Fern,Platycerium bifurcatum
P026,관엽 Foliage,보스턴고사리,Boston Fern,Nephrolepis exaltata
P027,관엽 Foliage,아디안텀,Maidenhair Fern,Adiantum raddianum
P028,관엽 Foliage,페페로미아,Peperomia,Peperomia obtusifolia
P029,관엽 Foliage,필레아,Chinese Money Plant,Pilea peperomioides
P030,관엽 Foliage,무늬산세베리아,Snake Plant,Dracaena trifasciata
P031,관엽 Foliage,벤자민고무나무,Weeping Fig,Ficus benjamina
P032,관엽 Foliage,대만고무나무,Ginseng Ficus,Ficus microcarpa
P033,관엽 Foliage,극락조,Bird of Paradise,Strelitzia reginae
P034,관엽 Foliage,셀렘,Tree Philodendron,Thaumatophyllum bipinnatifidum
P035,관엽 Foliage,마란타,Prayer Plant,Maranta leuconeura
P036,관엽 Foliage,드라세나마지나타,Dragon Tree,Dracaena marginata
P037,관엽 Foliage,개운죽,Lucky Bamboo,Dracaena sanderiana
P038,관엽 Foliage,크로톤,Croton,Codiaeum variegatum
P039,관엽 Foliage,아이비,English Ivy,Hedera helix
P040,관엽 Foliage,싱고니움,Arrowhead Plant,Syngonium podophyllum
P041,관엽 Foliage,아스플레니움,Bird's Nest Fern,Asplenium nidus
P042,관엽 Foliage,몬스테라 오블리쿠아,Monstera Obliqua,Monstera obliqua
P043,관엽 Foliage,필로덴드론 셀로움,Philodendron Selloum,Philodendron bipinnatifidum
P044,관엽 Foliage,필로덴드론 콩고,Philodendron Congo,Philodendron tatei
P045,관엽 Foliage,필로덴드론 핑크프린세스,Pink Princess Philodendron,Philodendron erubescens
P046,관엽 Foliage,필로덴드론 버킨,Philodendron Birkin,Philodendron Birkin
P047,관엽 Foliage,필로덴드론 브라질,Philodendron Brasil,Philodendron hederaceum Brasil
P048,관엽 Foliage,안스리움 클라리네르비움,Velvet Anthurium,Anthurium clarinervium
P049,관엽 Foliage,안스리움 크리스탈리넘,Crystal Anthurium,Anthurium crystallinum
P050,관엽 Foliage,알로카시아 폴리,Alocasia Polly,Alocasia amazonica Polly
P051,관엽 Foliage,알로카시아 블랙벨벳,Black Velvet Alocasia,Alocasia reginula
P052,관엽 Foliage,알로카시아 스티나리아나,Alocasia Stingray,Alocasia macrorrhiza Stingray
P053,관엽 Foliage,알로카시아 프라이덱,Alocasia Frydek,Alocasia micholitziana
P054,관엽 Foliage,칼라데아 오르비폴리아,Calathea Orbifolia,Goeppertia orbifolia
P055,관엽 Foliage,칼라데아 메두사,Calathea Rattlesnake,Goeppertia lancifolia
P056,관엽 Foliage,칼라데아 화이트스타,Calathea White Star,Goeppertia majestica
P057,관엽 Foliage,칼라데아 제브리나,Zebra Plant,Goeppertia zebrina
P058,관엽 Foliage,스트로만테,Stromanthe Triostar,Stromanthe sanguinea
P059,관엽 Foliage,크테난테,Ctenanthe,Ctenanthe burle-marxii
P060,관엽 Foliage,베고니아 마쿨라타,Polka Dot Begonia,Begonia maculata
P061,관엽 Foliage,베고니아 렉스,Rex Begonia,Begonia rex
P062,관엽 Foliage,피토니아,Nerve Plant,Fittonia albivenis
P063,관엽 Foliage,히포에스테스,Polka Dot Plant,Hypoestes phyllostachya
P064,관엽 Foliage,콜레우스,Coleus,Coleus scutellarioides
P065,관엽 Foliage,트라데스칸티아,Wandering Jew,Tradescantia zebrina
P066,관엽 Foliage,트라데스칸티아 누아넨시스,Tradescantia Nanouk,Tradescantia Nanouk
P067,관엽 Foliage,클로로피텀,Spider Plant,Chlorophytum comosum
P068,관엽 Foliage,아스파라거스,Foxtail Fern,Asparagus densiflorus
P069,관엽 Foliage,아스파라거스 세타세우스,Lace Fern,Asparagus setaceus
P070,관엽 Foliage,프테리스,Table Fern,Pteris cretica
P071,관엽 Foliage,블레크넘,Silver Lady Fern,Blechnum gibbum
P072,관엽 Foliage,다발리아,Rabbit's Foot Fern,Davallia fejeensis
P073,관엽 Foliage,셀라기넬라,Spikemoss,Selaginella kraussiana
P074,관엽 Foliage,넉줄고사리,Squirrel's Foot Fern,Davallia mariesii
P075,관엽 Foliage,콩고무나무,Rubber Tree Robusta,Ficus elastica Robusta
P076,관엽 Foliage,움베르타고무나무,Ficus Umbellata,Ficus umbellata
P077,관엽 Foliage,알로카시아 오도라,Giant Elephant Ear,Alocasia odora
P078,관엽 Foliage,크로톤 페트라,Croton Petra,Codiaeum variegatum Petra
P079,관엽 Foliage,디시디아,Dischidia,Dischidia nummularia
P080,관엽 Foliage,호야 케리,Sweetheart Hoya,Hoya kerrii
P081,관엽 Foliage,립살리스 카슈테로,Coral Cactus,Rhipsalis cashero
P082,관엽 Foliage,디펜바키아 카밀라,Dieffenbachia Camille,Dieffenbachia Camille
P083,관엽 Foliage,아글라오네마 실버퀸,Aglaonema Silver Queen,Aglaonema Silver Queen
P084,관엽 Foliage,아글라오네마 레드,Red Aglaonema,Aglaonema Siam Aurora
P085,관엽 Foliage,싱고니움 핑크,Pink Syngonium,Syngonium podophyllum Pink
P086,관엽 Foliage,에피프레넘 피나텀,Cebu Blue Pothos,Epipremnum pinnatum
P087,관엽 Foliage,마블퀸 스킨답서스,Marble Queen Pothos,Epipremnum aureum Marble Queen
P088,관엽 Foliage,네온 스킨답서스,Neon Pothos,Epipremnum aureum Neon
P089,관엽 Foliage,라피도포라,Mini Monstera,Rhaphidophora tetrasperma
P090,관엽 Foliage,아스플레니움 크리스피,Crispy Wave Fern,Asplenium nidus Crispy Wave
P091,관엽 Foliage,립살리스 필로카르파,Old Man Cactus Vine,Rhipsalis pilocarpa
P092,관엽 Foliage,푸미라,Creeping Fig Variegata,Ficus pumila Variegata
P093,관엽 Foliage,아이비 제라늄,Ivy Geranium,Pelargonium peltatum
P094,관엽 Foliage,제라늄 로즈,Rose Geranium,Pelargonium graveolens
P095,관엽 Foliage,콜레우스 웨일,Coleus Wizard,Coleus scutellarioides Wizard
P096,관엽 Foliage,아프리칸바이올렛,African Violet,Saintpaulia ionantha
P097,관엽 Foliage,글록시니아,Gloxinia,Sinningia speciosa
P098,관엽 Foliage,립스틱플랜트,Lipstick Plant,Aeschynanthus radicans
P099,관엽 Foliage,칼럼네아,Goldfish Plant,Columnea gloriosa
P100,관엽 Foliage,에피스시아,Flame Violet,Episcia cupreata
P101,관엽 Foliage,스트렙토카르푸스,Cape Primrose,Streptocarpus hybridus
P102,관엽 Foliage,클리비아,Bush Lily,Clivia miniata
P103,관엽 Foliage,군자란,Kaffir Lily,Clivia nobilis
P104,관엽 Foliage,아마릴리스 벨라돈나,Belladonna Lily,Amaryllis belladonna
P105,관엽 Foliage,백량금,Coral Berry,Ardisia crenata
P106,관엽 Foliage,자금우,Marlberry,Ardisia japonica
P107,관엽 Foliage,행운목 마상게아나,Mass Cane,Dracaena fragrans Massangeana
P108,관엽 Foliage,드라세나 와네키,Dracaena Warneckii,Dracaena deremensis Warneckii
P109,관엽 Foliage,드라세나 콤팩타,Dracaena Compacta,Dracaena fragrans Compacta
P110,관엽 Foliage,코르딜리네,Ti Plant,Cordyline fruticosa
P111,관엽 Foliage,유카,Yucca Cane,Yucca elephantipes
P112,관엽 Foliage,아스피디스트라,Cast Iron Plant,Aspidistra elatior
P113,관엽 Foliage,마오리소포라,Kowhai,Sophora prostrata
P114,관엽 Foliage,벤자민 스타라이트,Ficus Starlight,Ficus benjamina Starlight
P115,관엽 Foliage,만손고사리,Silver Fern,Pityrogramma calomelanos
P116,관엽 Foliage,틸란드시아 우스네오이데스,Spanish Moss,Tillandsia usneoides
P117,관엽 Foliage,몬스테라 알보,Monstera Albo,Monstera deliciosa Albo
P118,관엽 Foliage,몬스테라 타이컨스텔레이션,Thai Constellation,Monstera deliciosa Thai
P119,관엽 Foliage,몬스테라 두비아,Shingle Plant,Monstera dubia
P120,관엽 Foliage,몬스테라 실테페카나,Silver Monstera,Monstera siltepecana
P121,관엽 Foliage,필로덴드론 글로리오섬,Philodendron Gloriosum,Philodendron gloriosum
P122,관엽 Foliage,필로덴드론 마이카,Philodendron Micans,Philodendron hederaceum Micans
P123,관엽 Foliage,필로덴드론 플로리다,Philodendron Florida,Philodendron Florida Ghost
P124,관엽 Foliage,필로덴드론 임페리얼레드,Imperial Red,Philodendron Imperial Red
P125,관엽 Foliage,필로덴드론 문라이트,Philodendron Moonlight,Philodendron Moonlight
P126,관엽 Foliage,안스리움 워로퀘아넘,Anthurium Warocqueanum,Anthurium warocqueanum
P127,관엽 Foliage,안스리움 매그니피컴,Anthurium Magnificum,Anthurium magnificum
P128,관엽 Foliage,알로카시아 드래곤스케일,Dragon Scale,Alocasia baginda Dragon Scale
P129,관엽 Foliage,알로카시아 실버드래곤,Silver Dragon,Alocasia baginda Silver Dragon
P130,관엽 Foliage,알로카시아 쿠쿨라타,Hooded Dwarf Elephant Ear,Alocasia cucullata
P131,관엽 Foliage,알로카시아 제브리나,Alocasia Zebrina,Alocasia zebrina
P132,관엽 Foliage,칼라데아 뮤사이카,Network Calathea,Goeppertia musaica
P133,관엽 Foliage,칼라데아 오나타,Pinstripe Calathea,Goeppertia ornata
P134,관엽 Foliage,칼라데아 크로카타,Eternal Flame,Goeppertia crocata
P135,관엽 Foliage,칼라데아 워보스키,Fishbone Prayer Plant,Goeppertia warszewiczii
P136,관엽 Foliage,마란타 레드,Red Prayer Plant,Maranta leuconeura erythroneura
P137,관엽 Foliage,싱고니움 알보,Syngonium Albo,Syngonium podophyllum Albo
P138,관엽 Foliage,싱고니움 레드스팟,Red Spot Syngonium,Syngonium erythrophyllum
P139,관엽 Foliage,스킨답서스 픽투스,Satin Pothos,Scindapsus pictus
P140,관엽 Foliage,스킨답서스 트레비,Scindapsus Treubii,Scindapsus treubii Moonlight
P141,관엽 Foliage,에피프레넘 골든드래곤,Golden Dragon,Epipremnum Golden Dragon
P142,관엽 Foliage,페페로미아 수박,Watermelon Peperomia,Peperomia argyreia
P143,관엽 Foliage,페페로미아 로소,Peperomia Rosso,Peperomia caperata Rosso
P144,관엽 Foliage,페페로미아 홉,Trailing Jade,Peperomia rotundifolia
P145,관엽 Foliage,호야 리네아리스,Hoya Linearis,Hoya linearis
P146,관엽 Foliage,호야 푸빅칼릭스,Hoya Pubicalyx,Hoya pubicalyx
P147,관엽 Foliage,호야 컴팩타,Hindu Rope,Hoya carnosa Compacta
P148,관엽 Foliage,디시디아 오바타,Watermelon Dischidia,Dischidia ovata
P149,관엽 Foliage,베고니아 마소니아나,Iron Cross Begonia,Begonia masoniana
P150,관엽 Foliage,베고니아 아메지스티나,Begonia Amethystina,Begonia amethystina
P151,관엽 Foliage,렉스베고니아 에스카르고,Escargot Begonia,Begonia rex Escargot
P152,관엽 Foliage,콜로카시아 블랙매직,Black Magic Taro,Colocasia esculenta Black Magic
P153,관엽 Foliage,콜로카시아 에스쿨렌타,Elephant Ear Taro,Colocasia esculenta
P154,관엽 Foliage,잔테데스키아 잎,Zamia Coontie,Zamia furfuracea
P155,관엽 Foliage,아프리칸밀크트리,African Milk Tree,Euphorbia trigona
P156,관엽 Foliage,크로톤 마모,Croton Mammy,Codiaeum variegatum Mammy
P157,관엽 Foliage,렉스 크루엔타,Bloody Dracaena,Cordyline terminalis Red
P158,관엽 Foliage,드라세나 리플렉사,Song of India,Dracaena reflexa
P159,관엽 Foliage,드라세나 자넷크레이그,Janet Craig,Dracaena deremensis Janet Craig
P160,관엽 Foliage,베아우카르네아,Ponytail Palm,Beaucarnea recurvata
P161,관엽 Foliage,디지고테카,False Aralia,Plerandra elegantissima
P162,관엽 Foliage,팔손이나무,Japanese Aralia,Fatsia japonica
P163,관엽 Foliage,파트헤데라,Tree Ivy,Fatshedera lizei
P164,관엽 Foliage,폴리시아스,Ming Aralia,Polyscias fruticosa
P165,관엽 Foliage,쉐플레라 아마테,Umbrella Plant Amate,Schefflera actinophylla
P166,관엽 Foliage,녹보수,Green Tree,Schefflera Green
P167,관엽 Foliage,마오리 코로키아,Korokio,Corokia cotoneaster
P168,관엽 Foliage,셀렘 호프,Hope Selloum,Philodendron Hope
P169,관엽 Foliage,싱고니움 마블,Marble Syngonium,Syngonium podophyllum Marble
P170,관엽 Foliage,아디안텀 프리츠,Fritz Luthi Fern,Adiantum raddianum Fritz Luthi
P171,관엽 Foliage,네프롤레피스 그린레이디,Green Lady Fern,Nephrolepis Green Lady
P172,관엽 Foliage,아스플레니움 오스무,Osmunda Nest Fern,Asplenium antiquum
P173,관엽 Foliage,휴케라,Coral Bells,Heuchera sanguinea
P174,관엽 Foliage,휴케렐라,Foamy Bells,Heucherella hybrid
P175,관엽 Foliage,티아렐라,Foam Flower,Tiarella cordifolia
P176,관엽 Foliage,람스이어,Lamb's Ear,Stachys byzantina
P177,관엽 Foliage,은쑥,Silver Mound,Artemisia schmidtiana
P178,관엽 Foliage,헬리크리섬 페티올라레,Licorice Plant,Helichrysum petiolare
P179,관엽 Foliage,딜로스페마,Ice Plant Foliage,Delosperma cooperi
P180,관엽 Foliage,유포르비아 다이아몬드,Diamond Frost,Euphorbia hypericifolia
P181,관엽 Foliage,렉스 콜레우스 블랙,Black Coleus,Coleus Black Dragon
P182,관엽 Foliage,이레시네,Bloodleaf,Iresine herbstii
P183,관엽 Foliage,알테르난테라,Joseph's Coat,Alternanthera ficoidea
P184,관엽 Foliage,백묘국,Dusty Miller,Jacobaea maritima
P185,관엽 Foliage,글레코마,Ground Ivy Variegata,Glechoma hederacea Variegata
P186,관엽 Foliage,디콘드라,Silver Falls,Dichondra argentea
P187,관엽 Foliage,립살리스 버첼리,Coral Cactus Rhipsalis,Rhipsalis burchellii
P188,관엽 Foliage,콜룸네아 골드피쉬,Goldfish Columnea,Columnea microphylla
P189,관엽 Foliage,블루스타 고사리,Blue Star Fern,Phlebodium aureum
P190,관엽 Foliage,크립탄서스,Earth Star,Cryptanthus bivittatus
P191,관엽 Foliage,구즈마니아,Guzmania,Guzmania lingulata
P192,관엽 Foliage,브로멜리아드 네오레겔리아,Neoregelia,Neoregelia carolinae
P193,관엽 Foliage,에크메아,Urn Plant,Aechmea fasciata
P194,관엽 Foliage,브리에세아,Flaming Sword,Vriesea splendens
P195,관엽 Foliage,틸란드시아 카푸트,Caput Medusae,Tillandsia caput-medusae
P196,관엽 Foliage,틸란드시아 크세로그라피카,Xerographica,Tillandsia xerographica
P197,관엽 Foliage,디오네아 대형,Giant Venus Flytrap,Dionaea muscipula B52
P198,관엽 Foliage,파키라 편조,Braided Money Tree,Pachira aquatica Braided
P199,관엽 Foliage,녹영 목걸이,Green Necklace,Curio radicans Fish Hook
P200,관엽 Foliage,칼라디움,Angel Wings,Caladium bicolor
P201,관엽 Foliage,칼라디움 화이트퀸,White Queen Caladium,Caladium White Queen
P202,관엽 Foliage,아스클레피아스,Butterfly Weed,Asclepias tuberosa
P203,관엽 Foliage,유포르비아 화이트,White Euphorbia,Euphorbia leucocephala
P204,관엽 Foliage,렉스 알로카시아 폴리,Amazon Elephant Ear,Alocasia amazonica
P205,관엽 Foliage,싱고니움 네온,Neon Robusta,Syngonium podophyllum Neon
P206,관엽 Foliage,페페로미아 페리스킨,Ripple Peperomia,Peperomia caperata
P207,관엽 Foliage,피토니아 화이트,White Nerve Plant,Fittonia albivenis White
P208,관엽 Foliage,크로톤 골드,Gold Dust Croton,Codiaeum variegatum Gold Dust
P209,관엽 Foliage,콜레우스 레인보우,Rainbow Coleus,Coleus Rainbow
P210,관엽 Foliage,아글라오네마 핑크,Pink Aglaonema,Aglaonema Pink Dalmatian
P211,관엽 Foliage,디펜바키아 트로픽,Tropic Snow,Dieffenbachia Tropic Snow
P212,관엽 Foliage,마란타 케르코비아나,Green Prayer Plant,Maranta leuconeura kerchoveana
P213,관엽 Foliage,칼라데아 랜시폴리아,Rattlesnake Plant,Goeppertia insignis
P214,관엽 Foliage,스트로만테 마젠타,Magenta Stromanthe,Stromanthe Magenta
P215,관엽 Foliage,렉스 알로카시아 그린벨벳,Green Velvet Alocasia,Alocasia micholitziana Green
P216,관엽 Foliage,안스리움 베이체이,King Anthurium,Anthurium veitchii
P217,관엽 Foliage,안스리움 파피리스,Anthurium Papillilaminum,Anthurium papillilaminum
P218,관엽 Foliage,필로덴드론 베루코섬,Ecuador Philodendron,Philodendron verrucosum
P219,관엽 Foliage,필로덴드론 멜라노크리섬,Black Gold Philodendron,Philodendron melanochrysum
P220,관엽 Foliage,라피도포라 데카시바,Dragon Tail Plant,Rhaphidophora decursiva
P221,관엽 Foliage,호말로메나,Queen of Hearts,Homalomena rubescens
P222,관엽 Foliage,아모르포팔루스,Voodoo Lily,Amorphophallus konjac
P223,관엽 Foliage,안스리움 클라리네르비움 다크,Dark Velvet Anthurium,Anthurium clarinervium Dark
P224,관엽 Foliage,페페로미아 프로스트,Frost Peperomia,Peperomia caperata Frost
P225,관엽 Foliage,앤슈리엄 실버,Silver Anthurium,Anthurium crystallinum Silver
P226,야자 Palm,테이블야자,Parlor Palm,Chamaedorea elegans
P227,야자 Palm,아레카야자,Areca Palm,Dypsis lutescens
P228,야자 Palm,관음죽,Lady Palm,Rhapis excelsa
P229,야자 Palm,켄차야자,Kentia Palm,Howea forsteriana
P230,야자 Palm,소철,Sago Palm,Cycas revoluta
P231,야자 Palm,피닉스야자,Pygmy Date Palm,Phoenix roebelenii
P232,야자 Palm,카나리야자,Canary Date Palm,Phoenix canariensis
P233,야자 Palm,워싱토니아야자,Washingtonia Palm,Washingtonia robusta
P234,야자 Palm,코코스야자,Queen Palm,Syagrus romanzoffiana
P235,야자 Palm,피시테일야자,Fishtail Palm,Caryota mitis
P236,야자 Palm,라피스야자,Broadleaf Lady Palm,Rhapis multifida
P237,야자 Palm,세이브릴야자,European Fan Palm,Chamaerops humilis
P238,야자 Palm,비스마르크야자,Bismarck Palm,Bismarckia nobilis
P239,야자 Palm,라탄야자,Rattan Palm,Calamus rotang
P240,야자 Palm,마자리야자,Mazari Palm,Nannorrhops ritchiana
P241,다육 Succulent,다육 에케베리아,Echeveria,Echeveria elegans
P242,다육 Succulent,립살리스,Mistletoe Cactus,Rhipsalis baccifera
P243,다육 Succulent,칼랑코에,Kalanchoe,Kalanchoe blossfeldiana
P244,다육 Succulent,하월시아,Haworthia,Haworthia fasciata
P245,다육 Succulent,알로에,Aloe Vera,Aloe vera
P246,다육 Succulent,세덤,Stonecrop,Sedum morganianum
P247,다육 Succulent,염좌,Jade Plant,Crassula ovata
P248,다육 Succulent,판다다육,Panda Plant,Kalanchoe tomentosa
P249,다육 Succulent,그린네클리스,String of Pearls,Curio rowleyanus
P250,다육 Succulent,하트호야,String of Hearts,Ceropegia woodii
P251,다육 Succulent,아가베,Agave,Agave americana
P252,다육 Succulent,유포르비아,Euphorbia,Euphorbia trigona
P253,다육 Succulent,립스틱다육,Lithops,Lithops karasmontana
P254,다육 Succulent,십이지권,Zebra Cactus,Haworthiopsis attenuata
P255,다육 Succulent,블랙프린스,Black Prince Echeveria,Echeveria Black Prince
P256,다육 Succulent,라울,Sedum Rubrotinctum,Sedum rubrotinctum
P257,다육 Succulent,홍옥,Jelly Bean Plant,Sedum pachyphyllum
P258,다육 Succulent,성미인,Pink Jade,Pachyphytum oviferum
P259,다육 Succulent,월미인,Moonstones,Pachyphytum Moonstone
P260,다육 Succulent,천대전송,Bear Paw,Cotyledon tomentosa
P261,다육 Succulent,을녀심,Propeller Plant,Crassula perforata
P262,다육 Succulent,희성,Watch Chain,Crassula muscosa
P263,다육 Succulent,화제,Campfire Crassula,Crassula capitella
P264,다육 Succulent,부영,Silver Dollar Plant,Crassula arborescens
P265,다육 Succulent,용월,Copper Rose,Echeveria nodulosa
P266,다육 Succulent,블루버드,Blue Bird Echeveria,Echeveria Blue Bird
P267,다육 Succulent,라일락,Lilac Mist,Echeveria hybrid Lilac
P268,다육 Succulent,아에오니움,Aeonium,Aeonium arboreum
P269,다육 Succulent,흑법사,Black Rose Aeonium,Aeonium Zwartkop
P270,다육 Succulent,그랍토페탈룸,Ghost Plant,Graptopetalum paraguayense
P271,다육 Succulent,센페르비붐,Hens and Chicks,Sempervivum tectorum
P272,다육 Succulent,세네시오 트리안굴라리스,String of Bananas,Curio radicans
P273,다육 Succulent,돌고래다육,String of Dolphins,Curio peregrinus
P274,다육 Succulent,녹영,String of Fishhooks,Curio herreanus
P275,다육 Succulent,콘시나,Fairy Washboard,Haworthiopsis limifolia
P276,다육 Succulent,가스테리아,Ox Tongue,Gasteria bicolor
P277,다육 Succulent,아가베 빅토리아,Victoria Agave,Agave victoriae-reginae
P278,다육 Succulent,포춘칼랑코에,Flaming Katy,Kalanchoe blossfeldiana
P279,다육 Succulent,당인,Paddle Plant,Kalanchoe thyrsiflora
P280,다육 Succulent,백은무,Silver Teaspoons,Kalanchoe bracteata
P281,다육 Succulent,파키피툼 히포겔라,Sugar Almond Plant,Pachyphytum hookeri
P282,다육 Succulent,코노피툼,Living Pebbles,Conophytum bilobum
P283,다육 Succulent,플레이오스필로스,Split Rock,Pleiospilos nelii
P284,다육 Succulent,페네스트라리아,Baby Toes,Fenestraria rhopalophylla
P285,다육 Succulent,티타노프시스,Concrete Leaf,Titanopsis calcarea
P286,다육 Succulent,페로칵타 안소니,Anthony Cactus,Ferocactus fordii
P287,다육 Succulent,아드로미스쿠스,Crinkle Leaf Plant,Adromischus cristatus
P288,다육 Succulent,둘리아나,Ruby Necklace,Othonna capensis
P289,다육 Succulent,세네시오 청옥,Blue Chalksticks,Curio repens
P290,다육 Succulent,월토이,Living Stone Lesliei,Lithops lesliei
P291,다육 Succulent,만손초,Mother of Thousands,Kalanchoe daigremontiana
P292,다육 Succulent,불로초,Chandelier Plant,Kalanchoe delagoensis
P293,다육 Succulent,미인,Ghost Echeveria,Graptoveria hybrid
P294,다육 Succulent,홍옥미인,Graptosedum,Graptosedum California Sunset
P295,다육 Succulent,대화금,Firestorm,Sedum adolphii
P296,다육 Succulent,아나캄프세로스,Sand Rose,Anacampseros rufescens
P297,다육 Succulent,포르툴라카리아,Elephant Bush,Portulacaria afra
P298,다육 Succulent,스타펠리아,Starfish Flower,Stapelia grandiflora
P299,다육 Succulent,후에르니아,Lifesaver Plant,Huernia zebrina
P300,다육 Succulent,세로페지아 산데르소니,Parachute Plant,Ceropegia sandersonii
P301,다육 Succulent,코틸레돈 오르비쿨라타,Pig's Ear,Cotyledon orbiculata
P302,다육 Succulent,에케베리아 라우이,Laui Echeveria,Echeveria laui
P303,다육 Succulent,에케베리아 퍼플펄,Purple Pearl,Echeveria Purple Pearl
P304,다육 Succulent,에케베리아 아가보이데스,Agavoides Echeveria,Echeveria agavoides
P305,다육 Succulent,세네시오 헤레이아누스 빅,Big String of Pearls,Curio herreanus Big
P306,다육 Succulent,아가베 아테누아타,Foxtail Agave,Agave attenuata
P307,다육 Succulent,알로에 아리스타타,Lace Aloe,Aristaloe aristata
P308,다육 Succulent,알로에 브레비폴리아,Short Leaf Aloe,Aloe brevifolia
P309,다육 Succulent,에케베리아 룬용,Runyonii Echeveria,Echeveria runyonii
P310,선인장 Cactus,금호선인장,Golden Barrel Cactus,Echinocactus grusonii
